time,open,high,low,close
2026-02-27 17:00:00,1.18221000,1.18270000,1.18194000,1.18203000
2026-02-27 17:15:00,1.18204000,1.18212000,1.18172000,1.18194000
2026-02-27 17:30:00,1.18194000,1.18242000,1.18183000,1.18217000
2026-02-27 17:45:00,1.18216000,1.18216000,1.18156000,1.18166000
2026-02-27 18:00:00,1.18168000,1.18178000,1.18133000,1.18134000
2026-02-27 18:15:00,1.18134000,1.18176000,1.18120000,1.18149000
2026-02-27 18:30:00,1.18150000,1.18160000,1.18111000,1.18158000
2026-02-27 18:45:00,1.18158000,1.18192000,1.18136000,1.18179000
2026-02-27 19:00:00,1.18178000,1.18202000,1.18167000,1.18178000
2026-02-27 19:15:00,1.18179000,1.18228000,1.18178000,1.18222000
2026-02-27 19:30:00,1.18222000,1.18224000,1.18187000,1.18198000
2026-02-27 19:45:00,1.18199000,1.18216000,1.18189000,1.18194000
2026-02-27 20:00:00,1.18194000,1.18237000,1.18194000,1.18228000
2026-02-27 20:15:00,1.18230000,1.18242000,1.18222000,1.18234000
2026-02-27 20:30:00,1.18234000,1.18260000,1.18234000,1.18244000
2026-02-27 20:45:00,1.18244000,1.18254000,1.18151000,1.18162000
2026-02-27 21:00:00,1.18160000,1.18161000,1.18124000,1.18142000
2026-02-27 21:15:00,1.18140000,1.18185000,1.18133000,1.18152000
2026-02-27 21:30:00,1.18152000,1.18177000,1.18112000,1.18117000
2026-02-27 21:45:00,1.18116000,1.18183000,1.18116000,1.18172000
2026-03-01 22:00:00,1.17685000,1.17705000,1.17652000,1.17652000
2026-03-01 22:15:00,1.17654000,1.17658000,1.17584000,1.17629000
2026-03-01 22:30:00,1.17630000,1.17736000,1.17630000,1.17730000
2026-03-01 22:45:00,1.17732000,1.17796000,1.17732000,1.17773000
2026-03-01 23:00:00,1.17770000,1.17878000,1.17661000,1.17778000
2026-03-01 23:15:00,1.17777000,1.17789000,1.17607000,1.17627000
2026-03-01 23:30:00,1.17628000,1.17664000,1.17577000,1.17664000
2026-03-01 23:45:00,1.17662000,1.17676000,1.17568000,1.17592000
2026-03-02 00:00:00,1.17589000,1.17710000,1.17560000,1.17704000
2026-03-02 00:15:00,1.17704000,1.17763000,1.17678000,1.17704000
2026-03-02 00:30:00,1.17705000,1.17715000,1.17635000,1.17709000
2026-03-02 00:45:00,1.17707000,1.17782000,1.17670000,1.17775000
2026-03-02 01:00:00,1.17773000,1.17896000,1.17754000,1.17876000
2026-03-02 01:15:00,1.17875000,1.17891000,1.17808000,1.17851000
2026-03-02 01:30:00,1.17849000,1.17944000,1.17833000,1.17910000
2026-03-02 01:45:00,1.17912000,1.17928000,1.17880000,1.17920000
2026-03-02 02:00:00,1.17920000,1.17934000,1.17846000,1.17854000
2026-03-02 02:15:00,1.17854000,1.17858000,1.17810000,1.17835000
2026-03-02 02:30:00,1.17835000,1.17890000,1.17832000,1.17860000
2026-03-02 02:45:00,1.17863000,1.17894000,1.17847000,1.17886000
2026-03-02 03:00:00,1.17887000,1.17945000,1.17884000,1.17908000
2026-03-02 03:15:00,1.17908000,1.17958000,1.17904000,1.17940000
2026-03-02 03:30:00,1.17942000,1.17954000,1.17905000,1.17926000
2026-03-02 03:45:00,1.17927000,1.17933000,1.17882000,1.17887000
2026-03-02 04:00:00,1.17887000,1.17904000,1.17870000,1.17878000
2026-03-02 04:15:00,1.17878000,1.17889000,1.17834000,1.17868000
2026-03-02 04:30:00,1.17870000,1.17878000,1.17829000,1.17836000
2026-03-02 04:45:00,1.17836000,1.17864000,1.17818000,1.17864000
2026-03-02 05:00:00,1.17862000,1.17862000,1.17756000,1.17756000
2026-03-02 05:15:00,1.17758000,1.17773000,1.17742000,1.17755000
2026-03-02 05:30:00,1.17757000,1.17793000,1.17737000,1.17738000
2026-03-02 05:45:00,1.17739000,1.17740000,1.17662000,1.17664000
2026-03-02 06:00:00,1.17664000,1.17667000,1.17533000,1.17534000
2026-03-02 06:15:00,1.17534000,1.17548000,1.17368000,1.17408000
2026-03-02 06:30:00,1.17410000,1.17430000,1.17312000,1.17325000
2026-03-02 06:45:00,1.17326000,1.17391000,1.17303000,1.17324000
2026-03-02 07:00:00,1.17322000,1.17344000,1.17225000,1.17248000
2026-03-02 07:15:00,1.17250000,1.17278000,1.17160000,1.17229000
2026-03-02 07:30:00,1.17230000,1.17276000,1.17124000,1.17154000
2026-03-02 07:45:00,1.17152000,1.17172000,1.17036000,1.17164000
2026-03-02 08:00:00,1.17164000,1.17233000,1.17105000,1.17150000
2026-03-02 08:15:00,1.17151000,1.17162000,1.17018000,1.17024000
2026-03-02 08:30:00,1.17024000,1.17137000,1.16981000,1.17116000
2026-03-02 08:45:00,1.17118000,1.17239000,1.17106000,1.17227000
2026-03-02 09:00:00,1.17226000,1.17398000,1.17210000,1.17398000
2026-03-02 09:15:00,1.17400000,1.17437000,1.17332000,1.17372000
2026-03-02 09:30:00,1.17372000,1.17424000,1.17339000,1.17388000
2026-03-02 09:45:00,1.17386000,1.17396000,1.17314000,1.17332000
2026-03-02 10:00:00,1.17331000,1.17398000,1.17328000,1.17351000
2026-03-02 10:15:00,1.17350000,1.17473000,1.17344000,1.17456000
2026-03-02 10:30:00,1.17456000,1.17469000,1.17400000,1.17455000
2026-03-02 10:45:00,1.17457000,1.17463000,1.17351000,1.17386000
2026-03-02 11:00:00,1.17386000,1.17400000,1.17321000,1.17338000
2026-03-02 11:15:00,1.17340000,1.17340000,1.17272000,1.17273000
2026-03-02 11:30:00,1.17272000,1.17344000,1.17263000,1.17338000
2026-03-02 11:45:00,1.17341000,1.17413000,1.17320000,1.17333000
2026-03-02 12:00:00,1.17330000,1.17340000,1.17248000,1.17252000
2026-03-02 12:15:00,1.17252000,1.17264000,1.17177000,1.17198000
2026-03-02 12:30:00,1.17196000,1.17216000,1.17130000,1.17138000
