time,open,high,low,close
2023-11-08,1.069610,1.071605,1.066064,1.069610
2023-11-09,1.071042,1.072800,1.068148,1.071042
2023-11-10,1.066758,1.069256,1.065769,1.066758
2023-11-13,1.069016,1.070549,1.066553,1.069016
2023-11-14,1.070183,1.086720,1.069359,1.070183
2023-11-15,1.087831,1.088732,1.083295,1.087831
2023-11-16,1.085458,1.089396,1.083095,1.085458
2023-11-17,1.085376,1.089230,1.082520,1.085376
2023-11-20,1.090703,1.094511,1.089800,1.090703
2023-11-21,1.094595,1.096732,1.092299,1.094595
2023-11-22,1.091822,1.092252,1.085458,1.091822
2023-11-23,1.089087,1.092705,1.088803,1.089087
2023-11-24,1.090631,1.094415,1.089562,1.090631
2023-11-27,1.094044,1.095926,1.092586,1.094044
2023-11-28,1.095842,1.10072,1.093506,1.095842
2023-11-29,1.10059,1.10169,1.096119,1.10059
2023-11-30,1.097370,1.098539,1.089491,1.097370
2023-12-01,1.089206,1.091346,1.083154,1.089206
2023-12-04,1.088815,1.088815,1.080567,1.088815
2023-12-05,1.083776,1.084834,1.078260,1.083776
2023-12-06,1.079366,1.080369,1.077319,1.079366
2023-12-07,1.076670,1.079680,1.075766,1.076670
2023-12-08,1.079214,1.080054,1.073146,1.079214
2023-12-11,1.076577,1.077935,1.074322,1.076577
2023-12-12,1.076658,1.082204,1.076183,1.076658
2023-12-13,1.079867,1.080824,1.077400,1.079867
2023-12-14,1.088613,1.10041,1.088021,1.088613
2023-12-15,1.099360,1.10059,1.090227,1.099360
2023-12-18,1.089526,1.093004,1.089455,1.089526
2023-12-19,1.092383,1.098800,1.091608,1.092383
2023-12-20,1.098105,1.098105,1.093565,1.098105
2023-12-21,1.094571,1.099977,1.093625,1.094571
2023-12-22,1.10062,1.10406,1.099421,1.10062
2023-12-25,1.10266,1.10424,1.099989,1.10266
2023-12-26,1.10203,1.10400,1.10096,1.10203
2023-12-27,1.10430,1.11225,1.10292,1.10430
2023-12-28,1.11086,1.11395,1.10710,1.11086
2023-12-29,1.10682,1.10865,1.10433,1.10682
2024-01-01,1.10558,1.10558,1.10400,1.10558
2024-01-02,1.10387,1.10461,1.094200,1.10387
2024-01-03,1.094176,1.096700,1.089871,1.094176
2024-01-04,1.092777,1.097021,1.091703,1.092777
2024-01-05,1.094739,1.099638,1.087985,1.094739
2024-01-08,1.094224,1.097815,1.092454,1.094224
2024-01-09,1.095170,1.096732,1.091262,1.095170
2024-01-10,1.093243,1.096972,1.092335,1.093243
2024-01-11,1.097514,1.099143,1.093147,1.097514
2024-01-12,1.098165,1.098660,1.093709,1.098165
2024-01-15,1.094571,1.095890,1.093410,1.094571
2024-01-16,1.094571,1.094667,1.086708,1.094571
2024-01-17,1.087879,1.088495,1.084540,1.087879
2024-01-18,1.088578,1.090750,1.084869,1.088578
2024-01-19,1.087914,1.089265,1.086827,1.087914
2024-01-22,1.089230,1.090988,1.088033,1.089230
2024-01-23,1.088021,1.091822,1.082427,1.088021
2024-01-24,1.085788,1.093147,1.085187,1.085788
2024-01-25,1.088175,1.090037,1.082614,1.088175
2024-01-26,1.084705,1.088329,1.081338,1.084705
2024-01-29,1.084352,1.084975,1.079715,1.084352
2024-01-30,1.083447,1.085564,1.081268,1.083447
2024-01-31,1.084340,1.088566,1.080766,1.084340
2024-02-01,1.080392,1.086555,1.078028,1.080392
2024-02-02,1.087465,1.089800,1.078307,1.087465
2024-02-05,1.078004,1.078749,1.072466,1.078004
2024-02-06,1.074183,1.076310,1.072455,1.074183
2024-02-07,1.075720,1.078435,1.075639,1.075720
2024-02-08,1.077575,1.078981,1.074310,1.077575
2024-02-09,1.077726,1.079447,1.076391,1.077726
2024-02-12,1.079820,1.080544,1.075766,1.079820
2024-02-13,1.077226,1.079564,1.070205,1.077226
2024-02-14,1.070893,1.073445,1.069553,1.070893
2024-02-15,1.073215,1.078632,1.072524,1.073215
2024-02-16,1.077389,1.078051,1.073445,1.077389
2024-02-19,1.078446,1.078981,1.076299,1.078493
2024-02-20,1.077540,1.083858,1.076252,1.077540
2024-02-21,1.081315,1.082251,1.079191,1.081315
2024-02-22,1.082040,1.088625,1.080509,1.082040
2024-02-23,1.082567,1.083940,1.081373,1.082567
2024-02-26,1.081958,1.085906,1.081338,1.082005
2024-02-27,1.085093,1.086614,1.083365,1.085093
2024-02-28,1.084481,1.084716,1.079867,1.084481
2024-02-29,1.083882,1.085588,1.080567,1.083882
2024-03-01,1.080497,1.084152,1.079925,1.080497
2024-03-04,1.084269,1.086649,1.083858,1.084269
2024-03-05,1.085517,1.087536,1.084269,1.085517
2024-03-06,1.085600,1.091405,1.084293,1.085600
2024-03-07,1.089954,1.094092,1.086933,1.089954
2024-03-08,1.095014,1.097803,1.092705,1.095014
2024-03-11,1.094296,1.095050,1.091465,1.094296
2024-03-12,1.093135,1.094212,1.090322,1.093135
2024-03-13,1.092777,1.094931,1.092049,1.092777
2024-03-14,1.095530,1.095530,1.088412,1.095530
2024-03-15,1.088341,1.090156,1.087382,1.088341
2024-03-18,1.088258,1.090750,1.088080,1.088258
2024-03-19,1.087394,1.087784,1.083506,1.087394
