[2025-10-13 08:10:20] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:11:00] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:11:24] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:11:59] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:12:39] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:13:19] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:13:59] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:14:40] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:15:20] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:16:00] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:16:40] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:17:19] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:18:00] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:18:40] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:19:05] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
[2025-10-13 08:22:12] Env loaded from .env.botA (BOT_TOKEN masked, CHAT_ID present=yes)
