time_utc,symbol,tf,bias,score,entry,stop,target,note,news_asof_utc,news_score,news_bias,news_why,news_event_risk,news_age_min
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,engine module 'data.providers' has no attribute 'fetch_price' |  | 0 | 30,,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,0,,,,score<55 | 0 | 30,,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all(). |  | 0 | 30",,,,,,
,XAUUSD,5min,,0,,,,score<25 | 0 | 30,,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,EURUSD,5min,,,,,,"engine The truth value of a DataFrame is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all(). |  | 0 | 30",,,,,,
,XAUUSD,5min,,0,,,,score<25 | 0 | 30,,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
,-,5min,,,,,,alive |  | 30,,,,,,
