utc_time,provider,status,symbol,interval,limit,rows,last_index,error
2025-09-16 14:20:26,finnhub,fail,EURUSD,1h,10,0,,RuntimeError('All providers failed: finnhub: finnhub: fail')
2025-09-16 14:20:27,twelvedata,ok,EURUSD,1h,10,10,2025-09-17 11:00:00,
2025-09-16 14:20:28,finnhub,fail,XAUUSD,1h,10,0,,RuntimeError('All providers failed: finnhub: finnhub: fail')
2025-09-16 14:20:28,twelvedata,rate_skip,XAUUSD,1h,10,0,,
2025-09-16 14:20:29,alphavantage,fail,XAUUSD,1h,10,0,,RuntimeError('All providers failed: alphavantage: alphavantage: Invalid API call. Please retry or visit the documentation (https://www.alphavantage.co/documentation/) for TIME_SERI...
2025-09-16 14:20:29,yahoo,fail,XAUUSD,1h,10,0,,RuntimeError('All providers failed: yahoo: yahoo: not implemented')
2025-09-16 14:22:12,twelvedata,ok,EURUSD,1h,5,5,2025-09-17 11:00:00,
2025-09-16 14:22:12,twelvedata,rate_skip,XAUUSD,1h,5,0,,
2025-09-16 14:22:13,finnhub,fail,XAUUSD,1h,5,0,,RuntimeError('All providers failed: finnhub: finnhub: fail')
2025-09-16 14:22:14,alphavantage,fail,XAUUSD,1h,5,0,,RuntimeError('All providers failed: alphavantage: alphavantage: Invalid API call. Please retry or visit the documentation (https://www.alphavantage.co/documentation/) for TIME_SERI...
2025-09-16 14:34:58,twelvedata,ok,EURUSD,1h,10,10,2025-09-17 11:00:00,
2025-09-16 14:34:58,twelvedata,rate_skip,XAUUSD,1h,10,0,,
2025-09-16 14:34:59,finnhub,fail,XAUUSD,1h,10,0,,RuntimeError('All providers failed: finnhub: finnhub: fail')
2025-09-16 14:34:59,eodhd,fail,XAUUSD,1h,10,0,,RuntimeError('All providers failed: eodhd: eodhd: not implemented')
2025-09-16 14:35:00,alphavantage,fail,XAUUSD,1h,10,0,,RuntimeError('All providers failed: alphavantage: alphavantage: Invalid API call. Please retry or visit the documentation (https://www.alphavantage.co/documentation/) for TIME_SERI...
2025-09-16 14:36:42,twelvedata,ok,EURUSD,1h,5,5,2025-09-17 11:00:00,
2025-09-16 14:36:42,twelvedata,rate_skip,EURUSD,4h,5,0,,
2025-09-16 14:36:42,finnhub,fail,EURUSD,4h,5,0,,RuntimeError('All providers failed: finnhub: finnhub: fail')
2025-09-16 14:36:42,eodhd,fail,EURUSD,4h,5,0,,RuntimeError('All providers failed: eodhd: eodhd: not implemented')
2025-09-16 14:36:45,alphavantage,ok,EURUSD,4h,5,5,2025-09-16 00:00:00,
2025-09-16 14:36:45,twelvedata,rate_skip,EURUSD,1d,5,0,,
2025-09-16 14:36:46,finnhub,fail,EURUSD,1d,5,0,,RuntimeError('All providers failed: finnhub: finnhub: fail')
2025-09-16 14:36:46,eodhd,rate_skip,EURUSD,1d,5,0,,
2025-09-16 14:36:46,alphavantage,ok,EURUSD,1d,5,5,2025-09-16 00:00:00,
