run_id,time_utc,symbol,tf,type,score,bias,entry,stop,target,why,cadence_min,watchlist,engine
97c37ace,2025-10-09 00:00:50Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
97c37ace,2025-10-09 00:00:50Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
c9d4023e,2025-10-09 00:05:51Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
c9d4023e,2025-10-09 00:05:51Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
8c384124,2025-10-09 00:15:52Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
8c384124,2025-10-09 00:15:52Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
bb983c48,2025-10-09 00:20:52Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
bb983c48,2025-10-09 00:20:52Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
fad74cd2,2025-10-09 00:25:53Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
fad74cd2,2025-10-09 00:25:53Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
e54e8286,2025-10-09 00:30:53Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
e54e8286,2025-10-09 00:30:53Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
0cf1adaf,2025-10-09 01:16:03Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
0cf1adaf,2025-10-09 01:16:03Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
dad2c968,2025-10-09 01:21:03Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
dad2c968,2025-10-09 01:21:03Z,,5min,skip,,,,,,outside trading hours,30,"EURUSD,XAUUSD",v2b
